"comic_id","collection_id"
15976,17302
15983,21287
15984,21287
16005,20734
16010,17682
13496,16654
3541,20718
15938,20919
15938,21085
15949,16637
15958,21618
15962,17326
15964,16628
15966,17305
15970,17308
15981,20923
16003,17451
15921,21618
15940,17325
15943,21604
15943,20940
15944,17679
15950,21300
15955,17301
15974,17678
15994,16653
13506,16659
15800,21618
15804,16661
15814,16217
15820,16638
15821,16638
15830,17324
15851,17313
15857,16632
15883,16654
15889,21300
13438,23217
13438,16643
13445,16630
13487,16636
15809,16621
15824,21424
15824,17325
15825,21300
15843,16620
15850,21300
15850,17681
15853,17452
15874,21618
15874,17691
15875,16642
15880,16644
15891,17688
13503,16659
13504,16659
15811,20723
15813,16217
15819,21085
15819,17312
15852,17326
15854,16628
15856,17305
15871,20924
15872,21287
15873,21287
15886,20732
21912,21287
15803,17431
15827,16629
15839,16637
15845,17301
15860,17308
15865,16215
15866,16641
15867,17439
15869,17302
15881,17683
15885,16653
13441,16206
20776,17442
13431,20720
13435,17441
13446,17324
13457,16200
13480,16632
13481,21283
6152,21424
6152,17325
6333,16630
13422,16216
13424,16661
13461,16620
13470,16227
13474,16207
13484,20918
13493,16642
13498,5187
13423,16023
13427,16621
13429,16021
13433,16217
13471,17313
13477,21802
13501,16659
13502,16659
5715,15893
6306,17304
6321,16643
6328,16636
13437,17312
13439,16638
13440,16638
13447,16208
13469,16205
13472,17326
13473,17326
13475,16628
13478,17305
13479,23217
13488,16215
13494,16644
13443,16629
13455,16637
13464,17301
13483,17308
13489,17302
13492,16219
13497,16653
6120,24514
6120,21422
6247,16017
6294,15904
6338,16206
20777,15900
6283,16659
6297,16659
6330,16216
6331,16632
6334,16021
6336,16207
6340,20720
6342,16661
6162,17304
6195,16198
6211,16200
6248,16198
6282,16621
6290,16217
6296,16022
6300,17680
6301,21802
6305,15899
6140,16654
6153,16630
6190,16204
6223,16023
6239,16637
6244,16227
6256,16644
6261,16638
6262,16638
6265,17312
6266,16208
6267,16628
6270,17305
6273,17326
6274,16205
6173,16025
6179,16636
6213,16620
6214,17301
6219,16641
6220,16215
6226,17308
6228,16659
6229,16659
6232,17302
6234,16653
6237,16219
6242,16629
6245,15897
6036,17314
6161,16206
6164,16630
6166,20744
6180,16643
6184,15904
6185,16632
6186,13527
6187,16207
6192,20720
6037,16639
6104,16017
6111,16217
6136,16200
6145,16637
6148,16216
6154,16021
6155,16627
6160,15899
5683,17304
5945,16198
6038,16025
6076,15894
6103,6279
6110,16638
6116,20927
6117,16205
6119,17316
6121,16638
6122,17312
6123,13514
6124,16219
6127,16208
6129,16628
6130,17305
5797,17472
5803,6480
5803,6139
5892,17472
6010,21424
6010,17325
6014,15905
6077,16023
6079,16621
6081,16227
6083,16629
6087,16215
6090,16022
6093,16653
6097,21802
6099,15897
6100,17301
6101,16620
