"price_id","comic_id","type","price"
"a365012c-d8a8-4ce1-8a1e-c1415cfdc11a",81178,"printPrice",3.99
"852221f4-2286-4871-abe7-1ec2cf1eb80b",89479,"printPrice",0
"37b79c19-7075-4208-a191-cfe84a69b862",77995,"printPrice",3.99
"fdf02c09-2375-4fdb-afc8-af2b273c9636",52781,"printPrice",15.99
"221c29b4-f35a-4b77-98b7-3c196375a53a",84671,"printPrice",4.99
"d5e53ca0-1a96-4fd6-b5a0-b481b01a855f",84676,"printPrice",3.99
"058028c4-c4ac-406c-8021-7e8324e11342",84105,"printPrice",3.99
"ce7ef677-a8d9-4493-9bcb-248dbb2368cf",84678,"printPrice",3.99
"7dddf9c5-b46a-4e79-b539-9ab95f168fd2",84677,"printPrice",3.99
"62fe9f44-9f88-4854-9ac3-f267f2c007bb",76403,"printPrice",0
"3cc23c16-a5c0-4bf0-aa91-aaaca57b7756",84188,"printPrice",4.99
"3547d11b-d47b-4592-a19e-987c2257eebf",83993,"printPrice",3.99
"aad8363d-89a3-476f-8353-fe2381f350f1",84672,"printPrice",4.99
"ceede63e-5f40-46bd-9492-7e0489ba484e",84348,"printPrice",4.99
"5639c873-04af-492d-875e-64ce660a28cd",62233,"printPrice",19.99
"813190ab-3fd9-49bf-9040-2f1e80389cbd",84325,"printPrice",3.99
"1d46b253-2770-4a4a-924f-d9918f062068",76356,"printPrice",3.99
"6869825f-4576-43b4-9a3c-3058b3ed84ac",82186,"printPrice",4.99
"e6525280-b9fa-4ae5-80f5-b114715cdec7",84195,"printPrice",4.99
"44a52d9f-c26a-4e02-8481-0989a56a3189",83364,"printPrice",3.99
"ba81ca0e-f1fb-4dbb-a2ac-7a2d2f5ffc30",84153,"printPrice",4.99
"1ccd0ef4-1e23-4a05-ab2b-d9f235bc65c4",78065,"printPrice",39.99
"05d8e1ba-889b-4e0f-944d-9555473e72e9",82560,"printPrice",39.99
"e61f9475-34aa-4471-bacb-de348de50cb8",84200,"printPrice",3.99
"02b86c1e-70e7-4945-8c73-2d0c195d77ff",84135,"printPrice",3.99
"f20a0aab-83ea-4742-b453-52118a5f47f8",78699,"printPrice",3.99
"80fbfa40-6c79-4a60-b4c5-851d6e110d1f",80487,"printPrice",4.99
"2c47d88d-7390-4d6a-b1d1-9677fc401f10",84038,"printPrice",15.99
"48f04453-a818-48d3-b4a4-e90f5a13128a",78612,"printPrice",7.99
"4ba0013f-62e0-4719-98ed-df3864f65477",84199,"printPrice",3.99
"76781f67-1f13-4bc8-b965-4579c73b533a",84197,"printPrice",3.99
"464d0721-c918-4a7a-91ff-f6f962372a2e",77345,"printPrice",3.99
"6d265a97-fb93-4fac-9c50-a7b26a4dc38b",77107,"printPrice",3.99
"4d1fa7ae-eae5-4ee4-aea8-a48390e507d9",84136,"printPrice",3.99
"a592b94d-6d4d-47b0-bc4c-37d1713ef977",80038,"printPrice",3.99
"7243ce40-b9c6-4b89-b3a7-b74f421f0a1b",83800,"printPrice",17.99
"57595a7b-358d-42fd-bf53-e159f5686312",77824,"printPrice",3.99
"5c3d05c4-7713-48a1-9792-81e9d54d1313",84191,"printPrice",3.99
"74b6ab2a-37dc-40ca-a1de-9ff695cfcf8d",78388,"printPrice",3.99
"d9660d0f-9501-4c78-81e2-76f5970fad4d",76028,"printPrice",17.99
"94c39b23-98de-48fa-819b-3c2b69771416",77507,"printPrice",3.99
"74f3c8e2-bdae-4450-b2d9-88c6b5bfd494",78629,"printPrice",3.99
"25bca26e-2fd4-4a42-887f-2d04a6e7ff80",79986,"printPrice",24.99
"a6230265-8108-46bb-813a-050770260bd5",84175,"printPrice",4.99
"28654ff0-2638-4da3-a625-ee0ac13ac170",84163,"printPrice",3.99
"66b9a312-72ed-42cc-984f-7316382ea2ca",82378,"printPrice",3.99
"ddf0e535-78e7-4ae2-9902-711a8e098b25",76795,"printPrice",3.99
"64db2410-e665-4845-83b3-017d74d20377",80461,"printPrice",4.99
"1198d278-aeed-4f07-a2ef-095afdb5e7f3",84164,"printPrice",3.99
"cb5bff78-f3b4-4913-aedb-69e3db57162a",73850,"printPrice",3.99
"bd99d5f3-6344-4108-9c2c-2500f6dbb739",84042,"printPrice",4.99
"f6cec4c5-9f0d-4f53-8df1-f5aa3533aec4",79944,"printPrice",3.99
"7b6c0de0-312b-4297-9ba9-4415237ac228",84198,"printPrice",3.99
"05cfc988-0a66-42ce-9d20-c8068534ed05",84201,"printPrice",3.99
"e3e0a23a-0bf3-4915-b008-41685de89a72",78323,"printPrice",12.99
"f94cd481-41d6-4ffa-af55-bb794de662dd",81324,"printPrice",100
"4cda0938-fad1-4783-b756-e3407bb3a6a7",84245,"printPrice",3.99
"0b7c1768-e5d0-4a1a-93c1-6c9998d85ace",82539,"printPrice",7.99
"880fc888-e393-42a8-8d08-9491abd13aaf",84217,"printPrice",4.99
"11a04c0b-7b50-4663-808f-3c5f5fa90b7e",84106,"printPrice",3.99
"f6c6c365-7ba2-4ec7-8cd2-c68d78163dda",84174,"printPrice",4.99
"263cb06a-6804-45e3-85ba-a5c01e615ece",78371,"printPrice",3.99
