"comic_id","variant_id"
76755,83930
83631,77106
83574,81086
83990,83989
83990,83991
83990,83992
83624,77790
77318,83623
83619,82498
83619,83618
83992,83989
83992,83990
83992,83991
83926,76734
83926,83613
82498,83618
82498,83619
83623,77318
83930,76755
83613,83926
83613,76734
77106,83631
83544,78683
83544,83545
83544,83546
83544,83547
83544,83548
83544,83549
83544,84150
76734,83613
76734,83926
83555,80459
83555,83551
83555,83552
83555,83553
83555,83554
83555,84032
83555,84040
83555,84041
83555,84173
83615,80609
84040,80459
84040,83551
84040,83552
84040,83553
84040,83554
84040,83555
84040,84032
84040,84041
84040,84173
77446,83626
83553,80459
83553,83551
83553,83552
83553,83554
83553,83555
83553,84032
83553,84040
83553,84041
83553,84173
83589,78679
83589,83588
83589,83590
79923,83584
83626,77446
83554,83553
83554,83555
83554,84032
83554,84040
83554,84041
83554,84173
83554,80459
83554,83551
83554,83552
80036,83643
80036,83644
80036,83645
83645,80036
83645,83643
83645,83644
83552,80459
83552,83551
83552,83553
83552,83554
83552,83555
83552,84032
83552,84040
83552,84041
83552,84173
84173,80459
84173,83551
84173,83552
84173,83553
84173,83554
84173,83555
84173,84032
84173,84040
84173,84041
83643,80036
83643,83644
83643,83645
78679,83589
78679,83590
78679,83588
83596,82377
83584,79923
83927,76746
84041,80459
84041,83551
84041,83552
84041,83553
84041,83554
84041,83555
84041,84032
84041,84040
84041,84173
78882,76988
84032,84040
84032,84041
84032,84173
84032,80459
84032,83551
84032,83552
84032,83553
84032,83554
84032,83555
80609,83615
80459,83551
80459,83552
80459,83553
80459,83554
80459,83555
80459,84032
80459,84040
80459,84041
80459,84173
83590,78679
83590,83588
83590,83589
83644,80036
83644,83643
83644,83645
83588,78679
83588,83589
83588,83590
83551,84032
83551,84040
83551,84041
83551,84173
83551,80459
83551,83552
83551,83553
83551,83554
83551,83555
77506,83602
83467,82183
83467,83468
83467,83490
83289,83290
83289,83294
83289,83293
83289,76984
83609,76733
83609,83925
80485,83561
80485,84194
80485,83559
80485,83560
77343,83627
83490,83467
83490,83468
83490,82183
82377,83596
83627,77343
83468,82183
83468,83467
83468,83490
84304,84021
84304,84071
84304,84072
84071,84072
84071,84304
84071,84021
82251,83290
82251,83294
82251,83289
82251,83293
82251,76984
83560,80485
83560,83559
83560,83561
83560,84194
79487,83605
78370,83335
83931,76761
84034,76793
83335,78370
76733,83925
76733,83609
83294,83290
83294,83289
83294,83293
83294,76984
83625,77175
83290,83294
83290,83289
83290,83293
83290,76984
83559,80485
83559,83560
83559,83561
83559,84194
77808,83273
83605,79487
77175,83625
76746,83927
76988,78882
83602,77506
83925,76733
83925,83609
83273,77808
84072,84071
84072,84304
84072,84021
83561,80485
83561,83559
83561,83560
83561,84194
76793,84034
82183,83467
82183,83468
82183,83490
84194,83560
84194,83561
84194,80485
84194,83559
83293,83290
83293,83294
83293,83289
83293,76984
76761,83931
84021,84071
84021,84072
84021,84304
84418,86224
84418,85925
84418,85924
84418,85923
84418,85922
84418,85921
84418,84335
84418,84242
84418,84033
84418,83223
84418,78627
83571,84220
83571,83570
83571,83569
83571,83568
83571,83567
83571,83566
83571,80507
76806,83349
83603,69368
83537,83538
83537,71754
78627,83223
78627,86224
78627,85925
78627,85924
78627,85923
78627,85922
78627,85921
78627,84418
78627,84335
78627,84242
78627,84033
83607,78523
76978,83836
76978,83608
69368,83603
83569,84220
83569,83571
83569,83570
83569,83568
83569,83567
83569,83566
83569,80507
83223,86224
83223,85925
83223,85924
83223,85923
83223,85922
83223,85921
83223,84418
83223,84335
83223,84242
83223,84033
83223,78627
77821,83287
80507,84220
80507,83571
80507,83570
80507,83569
80507,83568
80507,83567
80507,83566
83538,83537
83538,71754
84334,78482
83566,84220
83566,83571
83566,83570
83566,83569
83566,83568
83566,83567
83566,80507
77157,83620
71754,83538
71754,83537
83349,76806
83608,83836
83608,76978
78482,84334
78523,83607
83568,84220
83568,83571
83568,83570
83568,83569
83568,83567
83568,83566
83568,80507
83570,84220
83570,83571
83570,83569
83570,83568
83570,83567
83570,83566
83570,80507
83287,77821
83620,77157
84033,84418
84033,84335
84033,84242
84033,83223
84033,78627
84033,86224
84033,85925
84033,85924
84033,85923
84033,85922
84033,85921
83567,83568
83567,83566
83567,80507
83567,84220
83567,83571
83567,83570
83567,83569
83836,83608
83836,76978
84220,83571
84220,83570
84220,83569
84220,83568
84220,83567
84220,83566
84220,80507
84242,83223
84242,78627
84242,86224
84242,85925
84242,85924
84242,85923
84242,85922
84242,85921
84242,84418
84242,84335
84242,84033
84335,85922
84335,85921
84335,84418
84335,84242
84335,84033
84335,83223
84335,78627
84335,86224
84335,85925
84335,85924
84335,85923
85921,86224
